audio_path	sentence
data/si_0001.wav	ආයුබෝවන්
data/si_0002.wav	ඔබේ නම කුමක්ද?
data/si_0003.wav	මගේ නම චන්දිම.
data/si_0004.wav	අද හොඳ දවසක්.
data/si_0005.wav	කාලගුණය ඉතා සුන්දරයි.
data/si_0006.wav	මම ශ්‍රී ලංකාවේ ජීවත් වෙමි.
data/si_0007.wav	ඔබ කොහෙද යන්නේ?
data/si_0008.wav	කරුණාකර ඔබේ වයස කියන්න.
data/si_0009.wav	ස්තූතියි, ඔබට ද සුභ දිනයක්.
data/si_0010.wav	මම පාන් ගන්නට කඩේ ගියා.
data/si_0011.wav	ශ්‍රී ලංකාව සුන්දර රටක්.
data/si_0012.wav	කොළඹ ශ්‍රී ලංකාවේ අගනුවරයි.
data/si_0013.wav	මගේ ගෙදර ගාල්ල ළඟ.
data/si_0014.wav	අද රාත්‍රිය ඉතා සීතලයි.
data/si_0015.wav	හෙට කෝච්චියෙන් යනවා.
data/si_0016.wav	ඔබ කොතැනින්ද?
data/si_0017.wav	ළමයා ඉස්කෝලේ ගිහිල්ලා.
data/si_0018.wav	ඇගේ නම නිලූෆාර්.
data/si_0019.wav	අපි එකට ක්‍රිකට් ක්‍රීඩා කළා.
data/si_0020.wav	දිය ටිකක් ගෙනෙල්ලා දෙන්න.
data/si_0021.wav	රෝහලට යා යුතුයි.
data/si_0022.wav	ගෙදරට ගිහිල්ලා ආයිත් එනවා.
data/si_0023.wav	කෑම ඉතා රසවත්.
data/si_0024.wav	ඔහු ගණිතය ඉගෙන ගනී.
data/si_0025.wav	ගහේ ඵල ඉදිලා.
data/si_0026.wav	හිරු උදා වෙලා.
data/si_0027.wav	වැස්ස ඇදලා.
data/si_0028.wav	දරුවා හඬනවා.
data/si_0029.wav	නිදා ගන්නට ගියා.
data/si_0030.wav	ආහාරය කෑවා.
data/si_0031.wav	ගේ හදනවා.
data/si_0032.wav	ගමේ ජනයා සතුටින් ජීවත් වෙති.
data/si_0033.wav	ඇගෙ ළමා දෙදෙනෙකු ඉන්නවා.
data/si_0034.wav	ගමට ගිහිල්ලා ආවා.
data/si_0035.wav	ඔවුන් ගෙදර ඉන්නවා.
data/si_0036.wav	ශිෂ්‍යයෝ ඉගෙනීමේ යෙදී සිටිති.
data/si_0037.wav	ගුරුවරිය ළමයින්ට ඉගැන්වූවා.
data/si_0038.wav	ළිඳේ ජලය සීතලයි.
data/si_0039.wav	ගොවියා ගොවිතැන් කරනවා.
data/si_0040.wav	රාජ්‍යය ජනතාව රකිනවා.
data/si_0041.wav	ගුවන් යානය ළඟා වෙනවා.
data/si_0042.wav	ඔහු පොතක් කියවනවා.
data/si_0043.wav	නාට්‍යයක් බලනවා.
data/si_0044.wav	රූපවාහිනිය බලනවා.
data/si_0045.wav	ගීතයක් ගැයුවා.
data/si_0046.wav	කෙළිලොළු ළමයා නටනවා.
data/si_0047.wav	ළිළිත් ගිටාර් වාදනය කරනවා.
data/si_0048.wav	ඇය ඇඳුම් මහනවා.
data/si_0049.wav	ඔහු කිරිල්ලියෙකු ඇදගෙන ගිහිල්ලා.
data/si_0050.wav	ඉදිරි සතියේ විභාගය.
